id_canti,similarity,titolo,autore,raccolta,momento,link_youtube
2176,36.0,Gloria a Dio nell'alto dei cieli,Francesco Buttazzo,Dall'amore di Dio,23,bhDLqwo5PHI
2799,35.0,Gloria a Dio - 2023,Daniele Esposito,,23,Kk3QIQ08WYA
213,35.0,Gloria a Dio,Luigi Mariano,,23,KewJv-uYGLk
1458,34.0,Gloria,Francesco Buttazzo,Vita nuova con te,23,9EMdVh1IMz0
2628,34.0,Gloria a Dio ,RnS - S.Martinez,Ad una voce,23,oltLI_EgOfw
2454,34.0,Gloria a Dio,Giuseppe Tranchida,Con Voci di Gioia,23,I57AWJx0x4g
1728,33.0,Gloria a Dio,Guglielmo Amadei,La nostra festa è Cristo,23,JtJ4fbTGwNo
2087,32.0,Preconio Pasquale,Fra Giuseppe di Fatta,,5,5QKwhomm0G8
1575,31.0,Dio è amore,RnS,,21,x02RLuFgTcQ
2756,30.0,Gloria a Dio,Paolo Auricchio,Rallegriamoci nel Signore,23,P-h6I_G_dhY
1724,30.0,Gloria a Dio,Daniele Ricci,Gesù è il suo nome,"23,3",4giwnbQIyfk
2179,30.0,Gloria a Dio,Gianlivio Bersigotti,,23,N_8gyW4zEvk
208,30.0,Gloria,Marcello Giombini,,23,2inSW_DKXlQ
76,28.999999999999996,Beatitudine (La preghiera di Gesù è la nostra),Gaetano Castiglia,,"31,17",c6uJoG9BbJ8
1584,28.999999999999996,Gloria a Dio,Pasquale Dargenio,Sorgente di vita,23,BdXTowIQmgg
1879,28.999999999999996,Preconio Pasquale,Kiko Arguello,,"21,5",
1777,28.999999999999996,E' il Signore e dà la vita,Comunità Gesù Risorto,,"32,14",ovf-n3ScJ_8
282,28.999999999999996,Lo Spirito del Signore,Marco Frisina,,"21,6,17",wy2g6aSREag
117,28.000000000000004,Cantiamo Te,Gragnani,,"21,14,19",RN5HIkTbvzU
2303,28.000000000000004,Annuncio Pasquale,Domenico Machetta,,5,
1957,28.000000000000004,Gloria a Dio,Salvatore Basilotta,,23,nC22oOfALQs
2181,28.000000000000004,Gloria,Benedetti/Anselmi,,"23,3,5,6,10,14,15,52",WJKpNY7MmTw
2025,28.000000000000004,Gloria in excelsis Deo,Lecot,,23,es2sdyT98cM
1400,28.000000000000004,Gloria in excelsis Deo,Jean-Paul Lécot,,23,strUQQGtbhc
321,27.0,Noi canteremo gloria a Te,Gino Stefani - D. Stefani,,"21,32,14,19",beOpc0kvk0c
2737,27.0,Inno alla Parola,"R.Farruggio, V.Valenti",Da uomo a uomo,"21,31,17",q2GgtAvd53M
2394,27.0,Fa' che io creda,"RnS - De Luca, Conte",Io scelgo Te,26,RCquNBv0fik
2524,27.0,Gloria a Dio,Fusari - Rossi - Carocci,,23,DKFgt6-PTzk
1761,27.0,Gloria a Dio nell'alto dei cieli,F. Buttazzo - P. Dargenio,,23,ht1yDFKZ26c
452,27.0,Testimoni dell’amore,Francesco Buttazzo,,"5,16",uGwq9KukGGk
1709,27.0,Signore da chi andremo,Alejandro Mejia,,"31,52",J5tytDPEmCc
2265,26.0,Gloria,Berthier,,23,ZRAzX3fqD6I
1698,26.0,Vergin Santa,RnS,,"21,31,2,3,7",mTnD1HXRnfk
